"county"	"precinct"	"ld"	"sd"	"cd"	"state"	"year"	"g2014_GOV_dv"	"g2014_GOV_rv"	"g2014_GOV_tv"	"g2014_SC_dv"	"g2014_SC_nv"	"g2014_SC_rv"	"g2014_SC_tv"	"g2014_SC_yv"	"g2014_STH_dv"	"g2014_STH_rv"	"g2014_STH_tv"	"g2014_STS_dv"	"g2014_STS_rv"	"g2014_STS_tv"	"g2014_USH_dv"	"g2014_USH_rv"	"g2014_USH_tv"	"g2014_USS_dv"	"g2014_USS_rv"	"g2014_USS_tv"
"18"	"450 Willow Crest"	"18"	"I"	"1"	"AK"	2014		163	407		118			219	230		357	301		325	179	201	409	232	154	414
"18"	"455 West Anchorage No. 3"	"18"	"I"	"1"	"AK"	2014		152	430		127			240	255		385	323		357	229	165	432	267	136	439
"18"	"460 Fireweed No. 1"	"18"	"I"	"1"	"AK"	2014		212	680		170			352	430		619	499		524	434	215	684	440	221	689
"18"	"465 Fireweed No. 2"	"18"	"I"	"1"	"AK"	2014		104	305		97			152	193		279	234		240	165	110	305	190	88	308
"18"	"470 Fireweed No. 3"	"18"	"I"	"1"	"AK"	2014		67	196		70			93	112		173	140		154	114	70	197	114	69	196
"18"	"475 Midtown No. 1"	"18"	"I"	"1"	"AK"	2014		175	362		88			206	185		308	254		280	160	166	358	158	183	363
"18"	"480 Midtown No. 2"	"18"	"I"	"1"	"AK"	2014		220	656		142			396	424		588	497		525	401	229	655	416	229	662
"19"	"500 North Mt View No. 1"	"19"	"NA"	"1"	"AK"	2014		167	444		161			240	272		440				217	196	450	288	128	462
"19"	"505 North Mt View No. 2"	"19"	"NA"	"1"	"AK"	2014		185	468		161			247	269		453				245	204	473	318	131	480
"19"	"510 South Mt View No. 1"	"19"	"NA"	"1"	"AK"	2014		251	595		209			304	305		570				280	278	595	340	233	601
"19"	"515 South Mt View No. 2"	"19"	"NA"	"1"	"AK"	2014		128	286		77			159	147		268				117	141	284	149	104	285
"19"	"520 Airport Heights No. 1"	"19"	"NA"	"1"	"AK"	2014		204	577		157			330	335		560				326	233	584	373	180	587
"19"	"525 Airport Heights No. 2"	"19"	"NA"	"1"	"AK"	2014		233	831		213			463	560		800				517	274	831	562	235	839
"20"	"530 Government Hill"	"20"	"NA"	"1"	"AK"	2014		191	493		137			264	368		400				266	194	496	279	188	500
"20"	"535 Merrill Field"	"20"	"NA"	"1"	"AK"	2014		270	776		193			415	588		622				435	286	784	508	244	803
"20"	"540 Downtown Anch No. 1"	"20"	"NA"	"1"	"AK"	2014		89	273		47			168	195		216				174	83	273	164	100	273
"20"	"545 Downtown Anch No. 2"	"20"	"NA"	"1"	"AK"	2014		108	393		73			227	300		323				253	114	391	262	124	397
"20"	"550 Downtown Anch No. 3"	"20"	"NA"	"1"	"AK"	2014		59	172		44			84	123		134				103	54	170	110	57	175
"20"	"555 Downtown Anch No. 4"	"20"	"NA"	"1"	"AK"	2014		171	574		141			308	428		458				342	189	575	378	170	582
"20"	"560 Inlet View"	"20"	"NA"	"1"	"AK"	2014		147	536		81			329	390		427				374	142	535	358	168	541
"20"	"565 Westchester"	"20"	"NA"	"1"	"AK"	2014		90	313		57			190	242		261				220	79	315	221	89	317
"20"	"570 Fairview"	"20"	"NA"	"1"	"AK"	2014		153	462		141			239	359		394				255	176	466	299	144	475
"21"	"600 Turnagain No. 1"	"21"	"K"	"1"	"AK"	2014		287	907		191			547	510	387	901	494	409	904	540	337	907	553	339	909
"21"	"605 Sand Lake No. 1"	"21"	"K"	"1"	"AK"	2014		380	787		247			393	329	442	777	299	476	781	340	402	781	346	413	791
"21"	"610 Sand Lake No. 2"	"21"	"K"	"1"	"AK"	2014		304	701		199			383	295	388	687	276	414	693	342	311	707	342	321	715
"21"	"615 Sand Lake No. 3"	"21"	"K"	"1"	"AK"	2014		240	560		156			309	246	293	540	237	307	544	282	230	553	278	252	561
"21"	"620 Lake Spenard"	"21"	"K"	"1"	"AK"	2014		229	588		166			314	269	308	578	249	332	581	283	269	584	296	267	594
"21"	"625 Lake Hood"	"21"	"K"	"1"	"AK"	2014		350	847		189			498	426	410	839	414	421	837	463	345	849	477	341	853
"21"	"630 Turnagain No. 2"	"21"	"K"	"1"	"AK"	2014		184	472		144			252	254	203	458	234	227	461	254	190	473	270	177	476
